fic_id,author,title,words,published,status,chapters,rating,category,fandom,relationship,character,warning,freeform,url
6954559,['enpleurs'],when it rains (it pours),"29,784",2016-05-24,oneshot,01-Jan,['Explicit'],['M/M'],['INFINITE (Band)'],['Lee Sungyeol/Nam Woohyun'],[],['No Archive Warnings Apply'],"['AU', 'still not a college au']",http://archiveofourown.org/works/6954559?view_adult=true
12005586,['enpleurs'],run with me (catch me if you can),"86,858",2017-09-13,Updated: 2017-09-13,03-Mar,['Mature'],['M/M'],['VIXX'],['Cha Hakyeon | N/Kim Wonshik | Ravi'],[],['No Archive Warnings Apply'],"['Side Pairing: Keo', 'Historical AU', 'see notes for warnings and other notes']",http://archiveofourown.org/works/12005586?view_adult=true
33751156,['enpleurs'],Until the Stars Die in Heaven,"195,838",2021-09-08,Updated: 2022-11-05,45/65,['Teen And Up Audiences'],['Gen'],['VIXX'],['Cha Hakyeon | N/Jung Taekwoon | Leo'],[],['Creator Chose Not To Use Archive Warnings'],"['Historical Fantasy', 'Platonic Relationships', 'see notes for warnings and further notes', 'Welcome Back Jung Taekwoon!', 'genre expected warnings', 'Soulmates', 'Season 2 In July 2022!', 'Updates Saturday!', 'Season 3 in 2023!']",http://archiveofourown.org/works/33751156?view_adult=true
48857929,['wuzai'],and we touched the stars,"2,386",2023-07-25,oneshot,01-Jan,['Explicit'],['Multi'],['Hades (Video Game 2018)'],['Megaera/Thanatos/Zagreus (Hades Video Game)'],[],['No Archive Warnings Apply'],"['Face Sitting', 'Restraints', 'no condoms involved', ""it's a threesome pwp that's it"", 'there is no anal fisting']",http://archiveofourown.org/works/48857929?view_adult=true
8725597,['enpleurs'],beautiful target (this time is over),"31,113",2016-12-12,oneshot,01-Jan,['Teen And Up Audiences'],['M/M'],['VIXX'],['Cha Hakyeon | N/Jung Taekwoon | Leo'],[],['No Archive Warnings Apply'],"['low key fantasy/steampunk', 'please imagine kratos outfits', 'prompt: beautiful killer']",http://archiveofourown.org/works/8725597?view_adult=true
61766950,['enbaisant (enpleurs)'],to the world we dream about (and the one we live in now),"1,851",2024-12-29,oneshot,01-Jan,['Explicit'],['M/M'],"['VIXX', 'EXO (Band)']",['Jung Taekwoon | Leo/Kim Minseok | Xiumin'],[],['No Archive Warnings Apply'],"['Cuddling', ""i am never going to not make fun of taekwoon's flat ass"", ""also he's really tall""]",http://archiveofourown.org/works/61766950?view_adult=true
12005586,['enpleurs'],run with me (catch me if you can),"86,858",2017-09-13,Updated: 2017-09-13,3/3,['Mature'],['M/M'],['VIXX'],['Cha Hakyeon | N/Kim Wonshik | Ravi'],[],['No Archive Warnings Apply'],"['Side Pairing: Keo', 'Historical AU', 'see notes for warnings and other notes']",http://archiveofourown.org/works/12005586?view_adult=true
10098500,['galmaegi'],Wonderland,"2,974",2017-03-05,oneshot,1/1,['Explicit'],['M/M'],['VIXX'],['Jung Taekwoon | Leo/Lee Jaehwan | Ken'],"['Jung Taekwoon | Leo', 'Lee Jaehwan | Ken']",['No Archive Warnings Apply'],"['Hotel Sex', 'Anal Fingering', 'Oversized Clothing']",http://archiveofourown.org/works/10098500?view_adult=true
10098500,['galmaegi'],Wonderland,"2,974",2017-03-05,oneshot,1/1,['Explicit'],['M/M'],['VIXX'],['Jung Taekwoon | Leo/Lee Jaehwan | Ken'],"['Jung Taekwoon | Leo', 'Lee Jaehwan | Ken']",['No Archive Warnings Apply'],"['Hotel Sex', 'Anal Fingering', 'Oversized Clothing']",http://archiveofourown.org/works/10098500?view_adult=true
44121865,['enriant (enpleurs)'],vixxmas fills 2022,"1,137",2023-01-07,Updated: 2023-01-07,4/4,['General Audiences'],"['Gen', 'M/M']",['VIXX'],"['Jung Taekwoon | Leo/Lee Jaehwan | Ken', 'Han Sanghyuk | Hyuk/Lee Jaehwan | Ken']",[],['No Archive Warnings Apply'],"['im so tired', 'hyuk moves in w ken for real??', 'keo attempts b&b', 'aita for refusing to taking my fake deer head off the wall?', 'hyukken drag hongbin out to touch grass (kinda)']",http://archiveofourown.org/works/44121865?view_adult=true
48857929,['wuzai'],and we touched the stars,"2,386",2023-07-25,oneshot,1/1,['Explicit'],['Multi'],['Hades (Video Game 2018)'],['Megaera/Thanatos/Zagreus (Hades Video Game)'],[],['No Archive Warnings Apply'],"['Face Sitting', 'Restraints', 'no condoms involved', ""it's a threesome pwp that's it"", 'there is no anal fisting']",http://archiveofourown.org/works/48857929?view_adult=true
61766950,['enbaisant (enpleurs)'],to the world we dream about (and the one we live in now),"1,851",2024-12-29,oneshot,1/1,['Explicit'],['M/M'],"['VIXX', 'EXO (Band)']",['Jung Taekwoon | Leo/Kim Minseok | Xiumin'],[],['No Archive Warnings Apply'],"['Cuddling', ""i am never going to not make fun of taekwoon's flat ass"", ""also he's really tall""]",http://archiveofourown.org/works/61766950?view_adult=true
61766950,['enbaisant (enpleurs)'],to the world we dream about (and the one we live in now),"1,851",2024-12-29,oneshot,1/1,['Explicit'],['M/M'],"['VIXX', 'EXO (Band)']",['Jung Taekwoon | Leo/Kim Minseok | Xiumin'],[],['No Archive Warnings Apply'],"['Cuddling', ""i am never going to not make fun of taekwoon's flat ass"", ""also he's really tall""]",http://archiveofourown.org/works/61766950?view_adult=true
61766950,['enbaisant (enpleurs)'],to the world we dream about (and the one we live in now),"1,851",2024-12-29,oneshot,1/1,['Explicit'],['M/M'],"['VIXX', 'EXO (Band)']",['Jung Taekwoon | Leo/Kim Minseok | Xiumin'],[],['No Archive Warnings Apply'],"['Cuddling', ""i am never going to not make fun of taekwoon's flat ass"", ""also he's really tall""]",http://archiveofourown.org/works/61766950?view_adult=true
10098500,['galmaegi'],Wonderland,"2,974",2017-03-05,oneshot,1/1,['Explicit'],['M/M'],['VIXX'],['Jung Taekwoon | Leo/Lee Jaehwan | Ken'],"['Jung Taekwoon | Leo', 'Lee Jaehwan | Ken']",['No Archive Warnings Apply'],"['Hotel Sex', 'Anal Fingering', 'Oversized Clothing']",http://archiveofourown.org/works/10098500?view_adult=true
61766950,['enbaisant (enpleurs)'],to the world we dream about (and the one we live in now),"1,851",2024-12-29,oneshot,1/1,['Explicit'],['M/M'],"['VIXX', 'EXO (Band)']",['Jung Taekwoon | Leo/Kim Minseok | Xiumin'],[],['No Archive Warnings Apply'],"['Cuddling', ""i am never going to not make fun of taekwoon's flat ass"", ""also he's really tall""]",http://archiveofourown.org/works/61766950?view_adult=true
61766950,['enbaisant (enpleurs)'],to the world we dream about (and the one we live in now),"1,851",2024-12-29,oneshot,1/1,['Explicit'],['M/M'],"['VIXX', 'EXO (Band)']",['Jung Taekwoon | Leo/Kim Minseok | Xiumin'],[],['No Archive Warnings Apply'],"['Cuddling', ""i am never going to not make fun of taekwoon's flat ass"", ""also he's really tall""]",http://archiveofourown.org/works/61766950
